"Time","sda_读取","sdb_读取","sdc_读取","sdd_读取","sde_读取","sdf_读取","sda_写入","sdb_写入","sdc_写入","sdd_写入","sde_写入","sdf_写入"
2026-06-12 22:07:45,,,,,,,,,,,0.00193,
2026-06-12 22:08:00,,,,,,,,,,,0.00216,0.00179
2026-06-12 22:08:15,,,,,,,,,,,0.00625,
2026-06-12 22:08:30,,,,,,,,,,,0.00185,0.00100
2026-06-12 22:08:45,,,,,,,,,,,0.00198,
2026-06-12 22:09:00,,,,,,,,,,,0.00184,0.00173
2026-06-12 22:09:15,,,,,,,,,,,0.00192,
2026-06-12 22:09:30,,,,,,,,,,,0.00201,0.00153
2026-06-12 22:09:45,,,,,,,,,,,0.00196,
2026-06-12 22:10:00,,,,,,,,,,,0.00189,0.00110
2026-06-12 22:10:15,,,,,,,,,,,0.00185,
2026-06-12 22:10:30,,,,,,,,,,,0.00185,
2026-06-12 22:10:45,,,,,,,,,,,0.00192,0.000800
2026-06-12 22:11:00,,,,,,,,,,,0.00193,
2026-06-12 22:11:15,,,,,,,,,,,0.00183,0.00173
2026-06-12 22:11:30,,,,,,,,,,,0.00184,0.000500
2026-06-12 22:11:45,,,,,,,,,,,0.00184,0.00125
2026-06-12 22:12:00,,,,,0.00100,,,,,,0.00198,0.00150
2026-06-12 22:12:15,,,,,,,,,,,0.00188,0.00150
2026-06-12 22:12:30,,,,,,,,,,,0.00205,0.00179
2026-06-12 22:12:45,,,,,,,,,,,0.00187,0.000500
2026-06-12 22:13:00,,,,,,,,,,,0.00187,
2026-06-12 22:13:15,,,,,,,,,,,0.00192,0.000571
2026-06-12 22:13:30,,,,,,,,,,,0.00213,
2026-06-12 22:13:45,,,,,,,,,,,0.00212,0.000455
2026-06-12 22:14:00,,,,,,,,,,,0.00194,
2026-06-12 22:14:15,,,,,,,,,,,0.00189,0.00138
2026-06-12 22:14:30,,,,,,,,,,,0.00179,
2026-06-12 22:14:45,,,,,,,,,,,0.00201,0.00150
2026-06-12 22:15:00,,,,,,,,,,,0.00189,
2026-06-12 22:15:15,,,,,,,,,,,0.00189,
2026-06-12 22:15:30,,,,,,,,,,,0.00191,0.00336
2026-06-12 22:15:45,,,,,,,,,,,0.00174,
2026-06-12 22:16:00,,,,,,,,,,,0.00186,0.00164
2026-06-12 22:16:15,,,,,,,,,,,0.00200,
2026-06-12 22:16:30,,,,,0.00250,,,,,,0.00192,0.00170
2026-06-12 22:16:45,,,,,,,,,,,0.00141,
2026-06-12 22:17:00,,,,,,,,,,,0.00190,0.000667
2026-06-12 22:17:15,,,,,,,,,,,0.00201,
2026-06-12 22:17:30,,,,,,,,,,,0.00190,0.000867
2026-06-12 22:17:45,,,,,,,,,,,0.00215,
2026-06-12 22:18:00,,,,,,,,,,,0.00200,0.00164
2026-06-12 22:18:15,,,,,,,,,,,0.00218,
2026-06-12 22:18:30,,,,,,,,,,,0.00185,0.00180
2026-06-12 22:18:45,,,,,,,,,,,0.00190,
2026-06-12 22:19:00,,,,,,,,,,,0.00193,0.00173
2026-06-12 22:19:15,,,,,,,,,,,0.00198,
2026-06-12 22:19:30,,,,,,,,,,,0.00198,
2026-06-12 22:19:45,,,,,,,,,,,0.00198,0.00171
2026-06-12 22:20:00,,,,,,,,,,,0.00187,
2026-06-12 22:20:15,,,,,,,,,,,0.00204,0.000600
2026-06-12 22:20:30,,,,,,,,,,,0.00219,
2026-06-12 22:20:45,,,,,,,,,,,0.00227,0.000800
2026-06-12 22:21:00,,,,,,,,,,,0.00201,
2026-06-12 22:21:15,,,,,,,,,,,0.00224,0.00173
2026-06-12 22:21:30,,,,,,,,,,,0.00187,
2026-06-12 22:21:45,,,,,,,,,,,0.00194,0.00169
2026-06-12 22:22:00,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:22:15,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:22:30,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:22:45,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:23:00,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:23:15,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:23:30,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:23:45,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:24:00,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:24:15,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:24:30,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:24:45,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:25:00,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:25:15,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:25:30,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:25:45,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:26:00,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:26:15,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:26:30,,,,,0.0672,,,,,,0.00851,0.00150
2026-06-12 22:26:45,,,,,,,,,,,0.00188,0.000462
2026-06-12 22:27:00,,,,,0.00200,,,,,,0.00154,0.000385
2026-06-12 22:27:15,,,,,0.00100,,,,,,0.00140,0.000500
2026-06-12 22:27:30,,,,,,,,,,,0.00210,0.000625
2026-06-12 22:27:45,,,,,0.00150,,,,,,0.00220,0.00109
2026-06-12 22:28:00,,,,,0.00167,,,,,,0.00161,0.00200
2026-06-12 22:28:15,,,,,0.00100,,,,,,0.00143,0.00117
2026-06-12 22:28:30,,,,,0.00250,,,,,,0.00201,0.000333
2026-06-12 22:28:45,,,,,0.001000,,,,,,0.00212,0.000667
2026-06-12 22:29:00,,,,,0.00200,,,,,,0.00190,0.000857
2026-06-12 22:29:15,,,,,,,,,,,0.00190,0.000538
2026-06-12 22:29:30,,,,,0.00167,,,,,,0.00156,0.001000
2026-06-12 22:29:45,,,,,0.00167,,,,,,0.00156,0.001000
2026-06-12 22:30:00,,,,,0.001000,,,,,,0.00165,0.00133
2026-06-12 22:30:15,,,,,,,,,,,0.00220,0.00200
2026-06-12 22:30:30,,,,,0.00158,,,,,,0.00159,0.00175
2026-06-12 22:30:45,,,,,0.00300,,,,,,0.00205,0
2026-06-12 22:31:00,,,,,0.001000,,,,,,0.00227,0.000667
2026-06-12 22:31:15,,,,,,,,,,,0.00213,0.00167
2026-06-12 22:31:30,,,,,,,,,,,0.00196,0.00200
2026-06-12 22:31:45,,,,,,,,,,,0.00206,0.00175
2026-06-12 22:32:00,,,,,,,,,,,0.00182,0.000737
2026-06-12 22:32:15,,,,,,,,,,,0.00198,0.001000
2026-06-12 22:32:30,,,,,,,,,,,0.00185,0.000714
2026-06-12 22:32:45,,,,,,,,,,,0.00207,0.00967
2026-06-12 22:33:00,,,,,0.00200,,,,,,0.00199,0.000333
2026-06-12 22:33:15,,,,,,,,,,,0.00180,0.00192
2026-06-12 22:33:30,,,,,,,,,,,0.00187,0.00150
2026-06-12 22:33:45,,,,,,,,,,,0.00198,0.001000
2026-06-12 22:34:00,,,,,,,,,,,0.00198,0.001000
2026-06-12 22:34:15,,,,,,,,,,,0.00183,0.00191
2026-06-12 22:34:30,,,,,,,,,,,0.00188,0.00200
2026-06-12 22:34:45,,,,,,,,,,,0.00212,0.00178
2026-06-12 22:35:00,,,,,,,,,,,0.00169,0.00100
2026-06-12 22:35:15,,,,,,,,,,,0.00207,0.00200
2026-06-12 22:35:30,,,,,,,,,,,0.00203,0.001000
2026-06-12 22:35:45,,,,,,,,,,,0.00192,0.00129
2026-06-12 22:36:00,,,,,0.00186,,,,,,0.00198,0.00200
2026-06-12 22:36:15,,,,,0.00154,,,,,,0.00196,0.00200
2026-06-12 22:36:30,,,,,,,,,,,0.00204,0.00100
2026-06-12 22:36:45,,,,,,,,,,,0.00179,0.00113
2026-06-12 22:37:00,,,,,,,,,,,0.00196,0
2026-06-12 22:37:15,,,,,,,,,,,0.00190,0.00158
2026-06-12 22:37:30,,,,,0,,,,,,0.00172,0.00200
2026-06-12 22:37:45,,,,,,,,,,,0.00199,0.00178
2026-06-12 22:38:00,,,,,,,,,,,0.00160,0.001000
2026-06-12 22:38:15,,,,,,,,,,,0.00160,0.001000
2026-06-12 22:38:30,,,,,,,,,,,0.00196,0.00100
2026-06-12 22:38:45,,,,,,,,,,,0.00192,0.00200
2026-06-12 22:39:00,,,,,,,,,,,0.00184,0.00158
2026-06-12 22:39:15,,,,,,,,,,,0.00191,0.000333
2026-06-12 22:39:30,,,,,0.00192,0,,,,,0.00181,0.00118
2026-06-12 22:39:45,,,,,,,,,,,0.00193,0.00207
2026-06-12 22:40:00,,,,,,,,,,,0.00196,0.00131
2026-06-12 22:40:15,,,,,,,,,,,0.00197,0.00400
2026-06-12 22:40:30,,,,,,,,,,,0.00189,0.000333
2026-06-12 22:40:45,,,,,,,,,,,0.00191,
2026-06-12 22:41:00,,,,,,,,,,,0.00184,0.00100
2026-06-12 22:41:15,,,,,,,,,,,0.00186,
2026-06-12 22:41:30,,,,,,,,,,,0.00210,0.000929
2026-06-12 22:41:45,,,,,,,,,,,0.00198,
2026-06-12 22:42:00,,,,,,,,,,,0.00196,0.00150
2026-06-12 22:42:15,,,,,,,,,,,0.00191,
2026-06-12 22:42:30,,,,,,,,,,,0.00191,
2026-06-12 22:42:45,,,,,,,,,,,0.00195,0.000750
2026-06-12 22:43:00,,,,,,,,,,,0.00204,
2026-06-12 22:43:15,,,,,,,,,,,0.00196,0.000538
2026-06-12 22:43:30,,,,,0.00200,,,,,,0.00175,
2026-06-12 22:43:45,,,,,,,,,,,0.00211,0.000500
2026-06-12 22:44:00,,,,,,,,,,,0.00234,
2026-06-12 22:44:15,,,,,0.00300,,,,,,0.00212,0.00314
2026-06-12 22:44:30,,,,,,,,,,,0.00212,
2026-06-12 22:44:45,,,,,,,,,,,0.00177,0.00200
2026-06-12 22:45:00,,,,,,,,,,,0.00194,
2026-06-12 22:45:15,,,,,,,,,,,0.00218,0.00131
2026-06-12 22:45:30,,,,,,,,,,,0.00193,
2026-06-12 22:45:45,,,,,,,,,,,0.00182,0.00150
2026-06-12 22:46:00,,,,,0.00200,,,,,,0.00177,
2026-06-12 22:46:15,,,,,,,,,,,0.00228,0.000571
2026-06-12 22:46:30,,,,,,,,,,,0.00192,
2026-06-12 22:46:45,,,,,,,,,,,0.00192,
2026-06-12 22:47:00,,,,,,,,,,,0.00175,0.00100
2026-06-12 22:47:15,,,,,,,,,,,0.00218,
2026-06-12 22:47:30,,,,,,,,,,,0.00174,0.000846
2026-06-12 22:47:45,,,,,,,,,,,0.00196,
2026-06-12 22:48:00,,,,,,,,,,,0.00185,0.000529
2026-06-12 22:48:15,,,,,,,,,,,0.00188,
2026-06-12 22:48:30,,,,,,,,,,,0.00191,0.00100
2026-06-12 22:48:45,,,,,,,,,,,0.00189,
2026-06-12 22:49:00,,,,,,,,,,,0.00190,0.000500
2026-06-12 22:49:15,,,,,,,,,,,0.00216,
2026-06-12 22:49:30,,,,,,,,,,,0.00204,0.00118
2026-06-12 22:49:45,,,,,,,,,,,0.00175,
2026-06-12 22:50:00,,,,,,,,,,,0.00181,0.00169
2026-06-12 22:50:15,,,,,,,,,,,0.00200,
2026-06-12 22:50:30,,,,,,,,,,,0.00191,0.00150
2026-06-12 22:50:45,,,,,,,,,,,0.00198,
2026-06-12 22:51:00,,,,,,,,,,,0.00198,
2026-06-12 22:51:15,,,,,,,,,,,0.00202,0.000857
2026-06-12 22:51:30,,,,,,,,,,,0.00188,
2026-06-12 22:51:45,,,,,,,,,,,0.00205,0.000636
2026-06-12 22:52:00,,,,,,,,,,,0.00190,
2026-06-12 22:52:15,,,,,,,,,,,0.00186,0.001000
2026-06-12 22:52:30,,,,,,,,,,,0.00171,
2026-06-12 22:52:45,,,,,,,,,,,0.00192,0.00179
2026-06-12 22:53:00,,,,,0.00200,,,,,,0.00198,
2026-06-12 22:53:15,,,,,,,,,,,0.00194,0.000526
2026-06-12 22:53:30,,,,,,,,,,,0.00203,
2026-06-12 22:53:45,,,,,,,,,,,0.00216,0.00150
2026-06-12 22:54:00,,,,,,,,,,,0.00178,
2026-06-12 22:54:15,,,,,,,,,,,0.00198,0.00160
2026-06-12 22:54:30,,,,,,,,,,,0.00214,
2026-06-12 22:54:45,,,,,,,,,,,0.00197,0.000818
2026-06-12 22:55:00,,,,,,,,,,,0.00189,
2026-06-12 22:55:15,,,,,,,,,,,0.00189,
2026-06-12 22:55:30,,,,,0.00300,,,,,,0.00178,0.000769
2026-06-12 22:55:45,,,,,,,,,,,0.00185,
2026-06-12 22:56:00,,,,,,,,,,,0.00193,0.000667
2026-06-12 22:56:15,,,,,,,,,,,0.00181,
2026-06-12 22:56:30,,,,,,,,,,,0.00172,0.000400
2026-06-12 22:56:45,,,,,,,,,,,0.00194,
2026-06-12 22:57:00,,,,,,,,,,,0.00210,0.00164
2026-06-12 22:57:15,,,,,,,,,,,0.00195,

