"Time","sda_每秒I/O操作%","sdb_每秒I/O操作%","sdc_每秒I/O操作%","sdd_每秒I/O操作%","sde_每秒I/O操作%","sdf_每秒I/O操作%"
2026-06-12 22:26:30,0,0,0,0,0.0589,0
2026-06-12 22:26:45,0,0,0,0,0.00113,0
2026-06-12 22:27:00,0,0,0,0,0.0370,0
2026-06-12 22:27:15,0,0,0,0,0.0310,0
2026-06-12 22:27:30,0,0,0,0,0.0387,0
2026-06-12 22:27:45,0,0,0,0,0.0236,0.000236
2026-06-12 22:28:00,0,0,0,0,0.0373,0.000267
2026-06-12 22:28:15,0,0,0,0,0.0263,0.000235
2026-06-12 22:28:30,0,0,0,0,0.0272,0
2026-06-12 22:28:45,0,0,0,0,0.0227,0
2026-06-12 22:29:00,0,0,0,0,0.0200,0
2026-06-12 22:29:15,0,0,0,0,0.0179,0
2026-06-12 22:29:30,0,0,0,0,0.0373,0
2026-06-12 22:29:45,0,0,0,0,0.0373,0
2026-06-12 22:30:00,0,0,0,0,0.0308,0.000477
2026-06-12 22:30:15,0,0,0,0,0.0189,0
2026-06-12 22:30:30,0,0,0,0,0.0283,0
2026-06-12 22:30:45,0,0,0,0,0.0160,0
2026-06-12 22:31:00,0,0,0,0,0.0221,0
2026-06-12 22:31:15,0,0,0,0,0.0184,0
2026-06-12 22:31:30,0,0,0,0,0.0200,0
2026-06-12 22:31:45,0,0,0,0,0.0165,0
2026-06-12 22:32:00,0,0,0,0,0.0222,0.000236
2026-06-12 22:32:15,0,0,0,0,0.0160,0
2026-06-12 22:32:30,0,0,0,0,0.0163,0
2026-06-12 22:32:45,0,0,0,0,0.0139,0.00167
2026-06-12 22:33:00,0,0,0,0,0.0159,0
2026-06-12 22:33:15,0,0,0,0,0.0163,0
2026-06-12 22:33:30,0,0,0,0,0.0131,0
2026-06-12 22:33:45,0,0,0,0,0.0179,0
2026-06-12 22:34:00,0,0,0,0,0.0179,0
2026-06-12 22:34:15,0,0,0,0,0.0175,0
2026-06-12 22:34:30,0,0,0,0,0.0197,0
2026-06-12 22:34:45,0,0,0,0,0.0201,0
2026-06-12 22:35:00,0,0,0,0,0.0195,0
2026-06-12 22:35:15,0,0,0,0,0.0148,0
2026-06-12 22:35:30,0,0,0,0,0.0181,0
2026-06-12 22:35:45,0,0,0,0,0.0166,0
2026-06-12 22:36:00,0,0,0,0,0.0240,0
2026-06-12 22:36:15,0,0,0,0,0.0175,0
2026-06-12 22:36:30,0,0,0,0,0.0197,0
2026-06-12 22:36:45,0,0,0,0,0.0183,0
2026-06-12 22:37:00,0,0,0,0,0.0189,0
2026-06-12 22:37:15,0,0,0,0,0.0152,0.000950
2026-06-12 22:37:30,0,0,0,0,0.0421,0
2026-06-12 22:37:45,0,0,0,0,0.0195,0
2026-06-12 22:38:00,0,0,0,0,0.0176,0
2026-06-12 22:38:15,0,0,0,0,0.0176,0
2026-06-12 22:38:30,0,0,0,0,0.0155,0
2026-06-12 22:38:45,0,0,0,0,0.0192,0
2026-06-12 22:39:00,0,0,0,0,0.0154,0
2026-06-12 22:39:15,0,0,0,0,0.0142,0
2026-06-12 22:39:30,0,0,0,0,0.0188,0
2026-06-12 22:39:45,0,0,0,0,0.0160,0
2026-06-12 22:40:00,0,0,0,0,0.0171,0
2026-06-12 22:40:15,0,0,0,0,0.0181,0
2026-06-12 22:40:30,0,0,0,0,0.0152,0
2026-06-12 22:40:45,0,0,0,0,0.0168,0
2026-06-12 22:41:00,0,0,0,0,0.0142,0
2026-06-12 22:41:15,0,0,0,0,0.0152,0
2026-06-12 22:41:30,0,0,0,0,0.0150,0
2026-06-12 22:41:45,0,0,0,0,0.0155,0
2026-06-12 22:42:00,0,0,0,0,0.0145,0
2026-06-12 22:42:15,0,0,0,0,0.0157,0
2026-06-12 22:42:30,0,0,0,0,0.0157,0
2026-06-12 22:42:45,0,0,0,0,0.0156,0
2026-06-12 22:43:00,0,0,0,0,0.0192,0
2026-06-12 22:43:15,0,0,0,0,0.0191,0
2026-06-12 22:43:30,0,0,0,0,0.0181,0
2026-06-12 22:43:45,0,0,0,0,0.0193,0
2026-06-12 22:44:00,0,0,0,0,0.0229,0
2026-06-12 22:44:15,0,0,0,0,0.0168,0.00173
2026-06-12 22:44:30,0,0,0,0,0.0224,0
2026-06-12 22:44:45,0,0,0,0,0.0180,0.000234
2026-06-12 22:45:00,0,0,0,0,0.0179,0
2026-06-12 22:45:15,0,0,0,0,0.0128,0
2026-06-12 22:45:30,0,0,0,0,0.0187,0
2026-06-12 22:45:45,0,0,0,0,0.0154,0
2026-06-12 22:46:00,0,0,0,0,0.0189,0
2026-06-12 22:46:15,0,0,0,0,0.0135,0
2026-06-12 22:46:30,0,0,0,0,0.0157,0
2026-06-12 22:46:45,0,0,0,0,0.0157,0
2026-06-12 22:47:00,0,0,0,0,0.0133,0
2026-06-12 22:47:15,0,0,0,0,0.0173,0
2026-06-12 22:47:30,0,0,0,0,0.0140,0
2026-06-12 22:47:45,0,0,0,0,0.0173,0
2026-06-12 22:48:00,0,0,0,0,0.0164,0
2026-06-12 22:48:15,0,0,0,0,0.0205,0
2026-06-12 22:48:30,0,0,0,0,0.0159,0
2026-06-12 22:48:45,0,0,0,0,0.0171,0
2026-06-12 22:49:00,0,0,0,0,0.0156,0
2026-06-12 22:49:15,0,0,0,0,0.0165,0
2026-06-12 22:49:30,0,0,0,0,0.0155,0
2026-06-12 22:49:45,0,0,0,0,0.0171,0
2026-06-12 22:50:00,0,0,0,0,0.0170,0
2026-06-12 22:50:15,0,0,0,0,0.0189,0
2026-06-12 22:50:30,0,0,0,0,0.0154,0
2026-06-12 22:50:45,0,0,0,0,0.0171,0
2026-06-12 22:51:00,0,0,0,0,0.0171,0
2026-06-12 22:51:15,0,0,0,0,0.0152,0
2026-06-12 22:51:30,0,0,0,0,0.0157,0
2026-06-12 22:51:45,0,0,0,0,0.0152,0
2026-06-12 22:52:00,0,0,0,0,0.0141,0
2026-06-12 22:52:15,0,0,0,0,0.0150,0
2026-06-12 22:52:30,0,0,0,0,0.0184,0
2026-06-12 22:52:45,0,0,0,0,0.0158,0
2026-06-12 22:53:00,0,0,0,0,0.0165,0
2026-06-12 22:53:15,0,0,0,0,0.0155,0
2026-06-12 22:53:30,0,0,0,0,0.0176,0
2026-06-12 22:53:45,0,0,0,0,0.0156,0
2026-06-12 22:54:00,0,0,0,0,0.0181,0
2026-06-12 22:54:15,0,0,0,0,0.0147,0
2026-06-12 22:54:30,0,0,0,0,0.0152,0
2026-06-12 22:54:45,0,0,0,0,0.0147,0
2026-06-12 22:55:00,0,0,0,0,0.0163,0
2026-06-12 22:55:15,0,0,0,0,0.0163,0
2026-06-12 22:55:30,0,0,0,0,0.0154,0
2026-06-12 22:55:45,0,0,0,0,0.0200,0
2026-06-12 22:56:00,0,0,0,0,0.0128,0
2026-06-12 22:56:15,0,0,0,0,0.0147,0
2026-06-12 22:56:30,0,0,0,0,0.0104,0
2026-06-12 22:56:45,0,0,0,0,0.0128,0
2026-06-12 22:57:00,0,0,0,0,0.0114,0
2026-06-12 22:57:15,0,0,0,0,0.0163,0

